Title,Year,Genre,Director,Production Company,Runtime (min),Country of Origin,Original Language,Gross Revenue (million)
The Last Sunset,2022,Drama,Sofia Coppola,A24,112,USA,English,45.2
Neon Dreams,2021,Sci-Fi,Denis Villeneuve,Legendary Pictures,148,Canada,English,320.7
Midnight Heist,2020,Action,Edgar Wright,Universal Pictures,119,UK,English,185.5
Whispering Winds,2019,Romance,Hirokazu Kore-eda,Studio Ghibli,106,Japan,Japanese,89.3
The Forgotten Code,2023,Mystery,David Fincher,Netflix,137,USA,English,0.0
Eternal Echoes,2018,Fantasy,Guillermo del Toro,Warner Bros.,126,Mexico,Spanish,195.8
Silent River,2017,Thriller,Park Chan-wook,CJ Entertainment,132,South Korea,Korean,72.4
Laughing Shadows,2016,Comedy,Taika Waititi,Fox Searchlight,98,New Zealand,English,210.9
Iron Skies,2015,Action,George Miller,MGM,142,Australia,English,380.5
The Blue Notebook,2014,Biography,James Marsh,Pathé,118,UK,English,65.7
Crimson Winter,2013,Horror,Jordan Peele,Blumhouse,95,USA,English,175.3
Golden Sands,2012,Adventure,Ang Lee,Universal Pictures,154,Taiwan,Mandarin,305.2
Broken Strings,2011,Musical,Damien Chazelle,Summit Entertainment,107,USA,English,142.8
The Silent Witness,2010,Crime,David Fincher,Paramount Pictures,129,USA,English,330.6
Starlight Serenade,2009,Animation,Pete Docter,Pixar,101,USA,English,735.9
Shadow Puppets,2008,Thriller,Christopher Nolan,Warner Bros.,148,UK,English,585.4
The Last Painting,2007,Historical,Paolo Sorrentino,Medusa Film,122,Italy,Italian,48.9
Desert Rose,2006,Western,Joel Coen,Paramount Vantage,110,USA,English,95.2
Midnight in Paris,2005,Romance,Woody Allen,Sony Pictures Classics,116,USA,English,151.1
The Glass Key,2004,Noir,David Cronenberg,Focus Features,108,Canada,English,62.3
Frozen Memories,2003,Drama,Lars von Trier,Zentropa,135,Denmark,Danish,32.7
The Iron Mask,2002,Action,John Woo,Columbia Pictures,137,Hong Kong,Cantonese,145.6
Echoes of Time,2001,Sci-Fi,Steven Spielberg,DreamWorks,142,USA,English,432.8
The Quiet Earth,2000,Post-Apocalyptic,Alfonso Cuarón,20th Century Fox,113,Mexico,Spanish,105.4
Velvet Dreams,1999,Romance,Wong Kar-wai,Block 2 Pictures,98,Hong Kong,Cantonese,68.9
The Black Cat,1998,Horror,Tim Burton,Warner Bros.,105,USA,English,230.1
City of Angels,1997,Fantasy,Brad Silberling,Warner Bros.,114,USA,English,198.7
The Lost Treasure,1996,Adventure,Steven Spielberg,DreamWorks,127,USA,English,520.3
Crimson Tide,1995,Action,Tony Scott,Hollywood Pictures,116,USA,English,270.5
The White Rose,1994,Drama,Oliver Stone,Warner Bros.,132,USA,English,185.9
The Last Emperor,1993,Historical,Bernardo Bertolucci,Columbia Pictures,163,Italy,Italian,95.8
The Running Man,1992,Action,Paul Verhoeven,TriStar Pictures,101,USA,English,215.3
The Silence,1991,Thriller,Jonathan Demme,Orion Pictures,131,USA,English,165.2
Cinema Paradiso,1990,Drama,Giuseppe Tornatore,Miramax,155,Italy,Italian,72.5
Dead Poets Society,1989,Drama,Peter Weir,Touchstone Pictures,128,USA,English,235.9
The Vanishing,1988,Thriller,George Sluizer,Argos Films,107,Netherlands,Dutch,45.6
The Princess Bride,1987,Fantasy,Rob Reiner,20th Century Fox,98,USA,English,30.9
Aliens,1986,Sci-Fi,James Cameron,20th Century Fox,137,USA,English,183.3
The Breakfast Club,1985,Comedy,John Hughes,Universal Pictures,97,USA,English,51.5
Amadeus,1984,Biography,Milos Forman,Orion Pictures,160,USA,English,90.4
Scarface,1983,Crime,Brian De Palma,Universal Pictures,170,USA,English,65.9
Blade Runner,1982,Sci-Fi,Ridley Scott,Warner Bros.,117,USA,English,41.6
Raiders of the Lost Ark,1981,Adventure,Steven Spielberg,Paramount Pictures,115,USA,English,389.9
The Shining,1980,Horror,Stanley Kubrick,Warner Bros.,146,USA,English,47.3
Apocalypse Now,1979,War,Francis Ford Coppola,United Artists,153,USA,English,150.8
The Deer Hunter,1978,Drama,Michael Cimino,Universal Pictures,183,USA,English,89.0
Star Wars,1977,Sci-Fi,George Lucas,20th Century Fox,121,USA,English,775.4
Taxi Driver,1976,Crime,Martin Scorsese,Columbia Pictures,113,USA,English,28.3
Jaws,1975,Thriller,Steven Spielberg,Universal Pictures,124,USA,English,476.5
The Godfather Part II,1974,Crime,Francis Ford Coppola,Paramount Pictures,202,USA,English,193.0
The Exorcist,1973,Horror,William Friedkin,Warner Bros.,122,USA,English,441.3
The French Connection,1972,Crime,William Friedkin,20th Century Fox,104,USA,English,75.0
The Dark Knight Returns,2023,Action,Christopher Nolan,Warner Bros.,152,USA,English,825.6
Oppenheimer,2023,Biography,Christopher Nolan,Universal Pictures,180,USA,English,952.3
Barbie,2023,Comedy,Greta Gerwig,Warner Bros.,114,USA,English,1440.0
Dune: Part Two,2023,Sci-Fi,Denis Villeneuve,Legendary Pictures,166,USA,English,704.7
Killers of the Flower Moon,2023,Crime,Martin Scorsese,Apple Studios,206,USA,English,156.8
The Marvels,2023,Superhero,Nia DaCosta,Marvel Studios,105,USA,English,206.1
Wonka,2023,Musical,Paul King,Warner Bros.,116,UK,English,632.3
Poor Things,2023,Drama,Yorgos Lanthimos,Searchlight Pictures,141,UK,English,112.5
The Holdovers,2023,Comedy,Alexander Payne,Focus Features,133,USA,English,78.9
Saltburn,2023,Thriller,Emerald Fennell,MGM,131,UK,English,95.4
Past Lives,2023,Romance,Celine Song,A24,106,USA,English,42.7
The Boy and the Heron,2023,Animation,Hayao Miyazaki,Studio Ghibli,124,Japan,Japanese,168.3
Anatomy of a Fall,2023,Thriller,Justine Triet,Les Films Pelléas,152,France,French,35.2
The Zone of Interest,2023,War,Jonathan Glazer,A24,105,UK,English,28.6
All of Us Strangers,2023,Fantasy,Andrew Haigh,Searchlight Pictures,105,UK,English,32.1
The Iron Claw,2023,Sports,Sean Durkin,A24,132,USA,English,45.8
Ferrari,2023,Biography,Michael Mann,Neon,130,USA,English,38.9
The Killer,2023,Thriller,David Fincher,Netflix,118,USA,English,0.0
Maestro,2023,Biography,Bradley Cooper,Netflix,129,USA,English,0.0
Napoleon,2023,War,Ridley Scott,Apple Studios,158,UK,English,221.7
Priscilla,2023,Drama,Sofia Coppola,A24,113,USA,English,35.4
The Creator,2023,Sci-Fi,Gareth Edwards,20th Century Fox,133,USA,English,104.2
A Haunting in Venice,2023,Mystery,Kenneth Branagh,20th Century Fox,103,UK,English,122.8
The Nun II,2023,Horror,Michael Chaves,Warner Bros.,110,USA,English,365.3
Saw X,2023,Horror,Kevin Greutert,Lionsgate,118,USA,English,148.9
The Equalizer 3,2023,Action,Antoine Fuqua,Columbia Pictures,109,USA,English,190.7
Expend4bles,2023,Action,Scott Waugh,Millennium Media,103,USA,English,51.2
Fast X,2023,Action,Louis Leterrier,Universal Pictures,141,USA,English,714.6
Indiana Jones and the Dial of Destiny,2023,Adventure,James Mangold,Lucasfilm,154,USA,English,384.0
Mission: Impossible - Dead Reckoning Part One,2023,Action,Christopher McQuarrie,Paramount Pictures,163,USA,English,567.5
John Wick: Chapter 4,2023,Action,Chad Stahelski,Lionsgate,169,USA,English,440.1
Creed III,2023,Sports,Michael B. Jordan,MGM,116,USA,English,275.3
Ant-Man and the Wasp: Quantumania,2023,Superhero,Peyton Reed,Marvel Studios,125,USA,English,476.1
Guardians of the Galaxy Vol. 3,2023,Superhero,James Gunn,Marvel Studios,150,USA,English,845.6
Shazam! Fury of the Gods,2023,Superhero,David F. Sandberg,Warner Bros.,130,USA,English,133.8
The Flash,2023,Superhero,Andy Muschietti,Warner Bros.,144,USA,English,271.3
The Grand Illusion,2022,Drama,Paul Thomas Anderson,MGM,138,USA,English,68.4
Moonlit Sonata,2021,Musical,Chloé Zhao,Searchlight Pictures,121,USA,English,92.7
Rust and Bone,2020,Drama,Jacques Audiard,Studiocanal,127,France,French,45.9
The Silent Sea,2019,Sci-Fi,Bong Joon-ho,CJ Entertainment,134,South Korea,Korean,88.2
Black Gold,2018,Adventure,George Miller,Warner Bros.,142,Australia,English,210.5
The Last Waltz,2017,Biography,Martin Scorsese,Paramount Pictures,118,USA,English,75.8
Northern Lights,2016,Drama,Thomas Vinterberg,Zentropa,112,Denmark,Danish,32.6
The Red Door,2015,Horror,James Wan,Blumhouse,101,USA,English,245.9
Eternal Sunshine,2014,Romance,Michel Gondry,Focus Features,108,USA,English,72.3
The Wind Rises,2013,Animation,Hayao Miyazaki,Studio Ghibli,126,Japan,Japanese,136.4
Broken Arrow,2012,Action,John Woo,20th Century Fox,132,Hong Kong,English,185.7
Midnight Express,2011,Thriller,Danny Boyle,Columbia Pictures,115,UK,English,94.2
The King's Speech,2010,Drama,Tom Hooper,The Weinstein Company,118,UK,English,424.9
Inglourious Basterds,2009,War,Quentin Tarantino,Universal Pictures,153,USA,English,321.5
The Wrestler,2008,Sports,Darren Aronofsky,Fox Searchlight,109,USA,English,44.7
No Country for Old Men,2007,Crime,Joel Coen,Paramount Vantage,122,USA,English,171.6
The Departed,2006,Crime,Martin Scorsese,Warner Bros.,151,USA,English,291.5
Brokeback Mountain,2005,Romance,Ang Lee,Focus Features,134,USA,English,178.1
Eternal Sunshine of the Spotless Mind,2004,Sci-Fi,Michel Gondry,Focus Features,108,USA,English,74.0
Lost in Translation,2003,Drama,Sofia Coppola,Focus Features,102,USA,English,119.7
The Pianist,2002,Biography,Roman Polanski,Focus Features,150,France,English,120.1
Amélie,2001,Romance,Jean-Pierre Jeunet,Claudie Ossard Productions,122,France,French,174.2
The Matrix,1999,Sci-Fi,Lana Wachowski,Warner Bros.,136,USA,English,465.3
Saving Private Ryan,1998,War,Steven Spielberg,DreamWorks,169,USA,English,482.3
Titanic,1997,Romance,James Cameron,Paramount Pictures,195,USA,English,2208.0
